Kood,Vanem,Tegevusala tekst,SIIA  KUULUB,SIIA KUULUB VEEL,SIIA EI KUULU,ERIALALIIDUD,ON ERINÕUDEID?
B,,MÄETÖÖSTUS,"Jagu B hõlmab looduses tahkel (kivisüsi, põlevkivi ja maagid), vedelal (nafta) või gaasilisel kujul (maagaas) esinevate mineraalide kaevandamist maaalustes kaevandustes, lahtistes karjäärides, puuraukude kaudu, merepõhjast jms meetodil. Siia kuuluvad abitegevused toorme ettevalmistamiseks ja turustamiseks, nt purustamine, peenestamine, puhastamine, kuivatamine, sortimine, maagi rikastamine, maagaasi veeldamine ja tahke kütuse aglomeerimine. Neid töid teevad maavarade kaevandamisega tegelevad ja/või muud läheduses paiknevad üksused.
Siia kuuluvad tegevused on liigitatud osadesse, gruppidesse ja klassidesse peamise kaevandatava maavara järgi. Osa 05 ja 06 käsitleb fossiilkütuste (kivisüsi, pruunsüsi, nafta, gaas) kaevandamist, osa 07 ja 08 hõlmab metallimaagi ja mitmesuguste mineraalide kaevandamise ning kaevandustooted. Mõningaid sellesse jakku kuuluvaid tehnilisi töid, nt süsivesinike ekstraheerimist, võivad spetsialiseeritud üksused teha tööstusteenusena kolmandatele osapooltele, vt osa 09.",,"kaevandatud materjali töötlemine, vt jagu C (Töötlev tööstus)
kaevandatud materjali kasutamine ehituses töötlemata kujul, vt jagu F (Ehitus)
allikavee ja loodusliku mineraalvee villimine, vt 11071
pinnase, kivimite ja mineraalide purustamine, peenestamine või muu töötlemine, mis ei liitu nende kaevandamisega, vt 239","Eesti Kaitsetööstuse Liit
Eesti Tööandjate Keskliit
Eesti Väike – ja Keskmiste Ettevõtjate Assotsiatsioon (EVEA)
Rahvusvaheline Kaubanduskoda ICC Eesti",EI
05,B,Kivi- ja pruunsöe kaevandamine,"Osa 05 hõlmab tahkete mineraalkütuste all- või pealmaakaevandamist ning muid tegevusi (nt sortimine, puhastamine, pressimine jm veoks vajalikud eeltööd), mille tulemuseks on müügikõlblik toode.",,"koksitootmine, vt 19101
kivi- ja pruunsöe kaevandamist teenindavad tegevusalad, vt 09901
briketi tootmine, vt 19201",,EI
051,05,Kivisöe kaevandamine,,,,,EI
0510,051,Kivisöe kaevandamine,,,,,JAH
05101,0510,Kivisöe kaevandamine,"− kivisöe kaevandamine kaevandustes ja karjäärides, k.a veeldamismeetodil
− kivisöe puhastamine, suuruse järgi sortimine, hindamine, peenestamine, pressimine jms liigitamiseks, kvaliteedi parandamiseks, transpordi või ladustamise hõlbustamiseks 
− kivisöe taaskasutus puistangust",,"pruunsöe kaevandamine, vt 05201
turbatootmine, vt 08921
kivisöe kaevandamise abitegevused, vt 09901
kontrollpuurimine kivisöe kaevandamiseks , vt 09901
tahke kütuse tootmine koksiahjus, vt 19101
kivisöebriketi tootmine, vt 19201
kivisöekaevandusalade ettevalmistus ja arendus, vt 43129",,JAH
052,05,Pruunsöe kaevandamine,,,,,EI
0520,052,Pruunsöe kaevandamine,,,,,JAH
05201,0520,Pruunsöe kaevandamine,"− pruunsöe (ligniidi) kaevandamine kaevandustes ja karjäärides, k.a veeldamismeetodil
− pruunsöe pesemine, veetustamine, peenestamine ja pressimine kvaliteedi parandamiseks, transpordi või ladustamise hõlbustamiseks",,"kivisöe kaevandamine, vt 05101
turba kaevandamine, vt 08921
abitegevused pruunsöe kaevandamiseks, vt 09901
kontrollpuurimine kivisöe kaevandamiseks , vt 09901
pruunsöebriketi tootmine, vt 19201
kivisöekaevandusalade ettevalmistus ja arendus, vt 43129",,JAH
06,B,Toornafta ja maagaasi tootmine,"Osa 06 hõlmab toornafta tootmist, põlevkivi ning õliliivade kaevandamist ja nendest nafta ekstraheerimist, maagaasi tootmist ja süsivesinikvedelike rekuperatsiooni. Siia liigitatakse nafta- ja gaasipiirkondade käituse ja/või arendamisega seotud tegevused, nt puuraukude puurimine, komplekteerimine ja seadmestamine; separaatorite, emulsioonipurustajate, sette-eemaldamisseadmete ja piirkonnas paiknevate toornaftatorude käitus ning kõik muud nafta- ja gaasitootmisega seotud tegevused kuni veoni tootmiskohalt. Siia kuulub õli tootmine, põlevkivi ja õliliivade kaevandamine ja nendest nafta ekstraheerimine, maagaasi ja süsivesinikvedelike tootmine kivisöe gaasistamise, vedeldamise ja utmise teel kaevanduspaigas.",,"nafta- ja gaasipiirkondade teenused tasu eest või lepingu alusel, vt 09101
nafta- ja gaasipuuraukude uurimine, vt 09101
kontrollpuurimine ja sondimine, vt 09101
naftasaaduste puhastamine, vt 19201
geofüüsikaline mõõdistamine ja kaardistamine, vt 71122",,EI
061,06,Toornafta tootmine,,,,,EI
0610,061,Toornafta tootmine,,,,,JAH
06101,0610,Põlevkivi kaevandamine ja toornafta tootmine,"− toornaftaõlide tootmine
− bituminoossete settekivimite ja liiva kaevandamine
− toornafta tootmine bituminoossest settekivimist ja liivast
− toorõli saamise protsessid, nt dekanteerimine, soolatustamine, veetustamine, stabiliseerimine jms",,"nafta- ja gaasitootmist teenindavad tegevusalad, vt 09101
nafta- ja gaasileiukohtade uurimine, vt 09101
rafineeritud naftatoodete tootmine, vt 19201 nafta rafineerimisel vedeldatud naftagaaside tootmine, vt 19201
torutransport, vt 49501",,JAH
062,06,Maagaasi tootmine,,,,,EI
0620,062,Maagaasi tootmine,,,,,JAH
06201,0620,Maagaasi tootmine,"− gaasiliste süsivesinike (maagaasi) tootmine
− kondensaatide tootmine
− vedelate süsivesinikfraktsioonide kuivendamine ja eraldamine
− gaasi puhastamine väävlist
− süsivesinikvedelike tootmine veeldamise ja utmise teel",,"nafta- ja gaasitootmist teenindavad tegevusalad, vt 09101
nafta ja gaasi leiukohtade uurimine, vt 09101
nafta rafineerimisel vedeldatud naftagaaside tootmine, vt 19201
tööstusgaaside tootmine, vt 20111
torutransport, vt 49501",,JAH
07,B,Metallimaakide kaevandamine,"Osa 07 hõlmab kaevandustes, karjäärides, merepõhjast jms meetodil metalsete mineraalide (maakide) kaevandamise. Samuti kuulub siia maakide esmatöötlus, nt purustamine, jahvatamine, pesemine, kuivatamine, paagutamine, kaltsineerimine või leostamine ning maakide rikastamine gravimeetrilise separatsiooni või flotatsiooni teel.",,"rauapüriitide põletamine, vt 20131
alumiiniumoksiidi tootmine, vt 24421
kõrgahjude käitamine, vt 24",,EI
071,07,Rauamaagi kaevandamine,,,,,EI
0710,071,Rauamaagi kaevandamine,,,,,JAH
07101,0710,Rauamaagi kaevandamine,"− rauasisalduse põhjal väärtustatud maakide kaevandamine
− rauamaakide rikastamine ja aglomeratsioon",,"püriitide ja pürrotiitide kaevandamine ja esmatöötlus (v.a põletamine), vt 08911",,JAH
072,07,Mitteraudmetallide maakide kaevandamine,See grupp hõlmab mitteraudmetallide maakide kaevandamist.,,,,EI
0721,072,Uraani- ja tooriumimaagi kaevandamine,,,,,JAH
07211,0721,Uraani- ja tooriumimaagi kaevandamine,"− uraani- ja tooriumisisalduse põhjal väärtustatud maakide kaevandamine, nt uraniniit jne
− uraani- ja tooriumimaakide rikastamine
− kollase uraanimulla tootmine",,"uraani- ja tooriumimaagi isotooprikastamine, vt 20131
uraanimetallide tootmine uraniniidist või teistest maakidest, vt 24461
uraani väljasulatamine ja rafineerimine, vt 24461",,JAH
0729,072,Muude mitteraudmetallide maakide kaevandamine,,,,,JAH
07291,0729,Muude mitteraudmetallide maakide kaevandamine,"− värvilise metalli sisalduse põhjal väärtustatud maakide kaevandamine ja esmatöötlus (nt alumiinium (boksiit), vask, plii, tsink, tina, mangaan, kroom, nikkel, koobalt, molübdeen, tantaal, vanaadium jm; väärismetallid: kuld, hõbe, plaatina)",,"uraani- ja tooriumimaagi kaevandamine ja esmatöötlus, vt 07211
alumiiniumoksiidi tootmine, vt 24421
nikli- ja vasekivi tootmine, vt 24441, 24451",,JAH
08,B,Muu kaevandamine,"Osa 08 hõlmab kaevandamist kaevandustes ja karjäärides, setete pumpamist, kivi purustamist ja soola leiukohtade kasutamist. Saadud tooteid kasutatakse peamiselt ehituses (nt liiv, kivid) ning kemikaali- ja materjalitööstuses (nt savi, kips, kaltsium jne).",,"kaevandatud mineraalide töötlemine (v.a purustamine, peenestamine, lõikamine, puhastamine, kuivatamine, sortimine ja segamine)",,EI
081,08,"Kivi, liiva ja savi kaevandamine",,,,,EI
0811,081,"Dekoratiiv- ja ehituskivi, lubjakivi, kipsi, kriidi ja kiltkivi kaevandamine",,,,,JAH
08111,0811,"Dekoratiiv- ja ehituskivi, lubjakivi, kipsi, kriidi ja kiltkivi kaevandamine","− raid- ja ehituskivi, nt marmori, graniidi, liivakivi jne murdmine, toorviimistlus ja lõikamine
− dekoratiiv- ja ehituskivi murdmine ja purustamine
− lubjakivi (paekivi) kaevandamine, purustamine ja murdmine
− lubjakivi räbusti kaevandamine 
− kipsi ja anhüdriidi kaevandamine
− kriidi ja kaltsineerimata dolomiidi kaevandamine",,"kemikaalide ja mineraalväetise toorme kaevandamine, vt 08911
kaltsineeritud dolomiidi tootmine, vt 23521
kivide lõikamine, vormimine ja viimistlemine väljaspool karjääre/kivimurde, vt 2370",,JAH
0812,081,Kruusa- ja liivakarjääride tegevus; savi ja kaoliini kaevandamine,,,,,JAH
08121,0812,Kruusa- ja liivakarjääride tegevus; savi ja kaoliini kaevandamine,"− liiva kaevandamine, tehnoloogilise ja ehitusliiva ning kruusa ammutamine ja pumpamine
− savi, tulekindla savi ja kaoliini kaevandamine",,"bituminoosse liiva kaevandamine, vt 06101
kaevandamist abistavad tegevusalad, vt 09901",,JAH
08122,0812,Killustiku tootmine,"− killustiku tootmine
− purustatud kivi tootmine (nt paas, dolomiit, lubjakivi, marmor vm, mida kasutatakse betoonitäidiseks, maantee, raudtee või muu ballastina) 
− räbust, drossist vms tööstusjäätmetest killustikkatte tootmine",,,,JAH
089,08,Mujal liigitamata kaevandamine,,,,,EI
0891,089,Kemikaalide ja mineraalväetiste toorme kaevandamine,,,,,JAH
08911,0891,Kemikaalide ja mineraalväetiste toorme kaevandamine,"− looduslike fosfaatide ja looduslike kaalisoolade kaevandamine
− loodusliku väävli kaevandamine
− püriitide ja pürrotiitide kaevandamine ja esmatöötlus, v.a põletamine
− loodusliku baariumisulfaadi ja -karbonaadi (barüüt, viteriit), loodusliku boraadi ja looduslike magneesiumsulfaatide (kiseriit) kaevandamine
− värvimuldade ja fluoriidi (fluoripagu) jm kemikaalitoormena hinnatud mineraalide kaevandamine 
− guaano kaevandamine",− ravimuda ja muu muda ammutamine,"soola kaevandamine, vt 08931
rauapüriitide põletamine, vt 20131
sünteetilise väetise ja lämmastikuühendite tootmine, vt 20151
kaevandamist abistavad tegevusalad, vt 09901",,JAH
0892,089,Turba tootmine,,,,Eesti Turbaliit,JAH
08921,0892,Turba tootmine,"− turba lõikamine
− turba töötlemine kvaliteedi parandamiseks, transpordi või ladustamise hõlbustamiseks 
− turbamullasegude tootmine","− freesturba tootmine
− lillemulla/segumulla tootmine","turbakaevandamist abistavad tegevusalad, vt 09901
turbatoodete tootmine (nt lehed, silindrilised koorikud, potid taimede kasvatamiseks), vt 23991
turbabriketi tootmine, vt 19201",,JAH
0893,089,Soola kaevandamine,,,,,JAH
08931,0893,Soola kaevandamine,"− soola allmaakaevandamine, k.a lahustamise ja pumpamise teel
− soola tootmine merevee vm loodusliku soolase vee aurustamise teel
− soola purustamine, puhastamine ja rafineerimine tootja poolt",,"soola töötlemine söögisoolaks, nt soola jodeerimine, vt 10841
joogivee tootmine soolase vee aurustamise teel, vt 36001
kaevandamist abistavad tegevusalad, vt 09901",,JAH
0899,089,Muu mujal liigitamata kaevandamine,,,,,JAH
08991,0899,Muu mujal liigitamata kaevandamine,"− mitmesuguste mineraalide ja materjalide kaevandamine:
− abrasiivmaterjalid, asbest, fossiilne ränijahu, looduslik grafiit, steatiit (talk), põldpagu jne
− looduslik asfalt, asfaltiidid, asfaltkivimid, looduslik vedel bituumen
− vääriskivid, kvarts, vilgukivi, vermikuliit jne
− räbu ja tuhk, sh merevetikatuhk","− loodusliku granaadi jm vääriskivide kaevandamine− pimsskivi kaevandamine
− turba kaevandamine",,,JAH
09,B,Kaevandamist abistavad tegevusalad,"Osa 09 hõlmab tasu eest või lepingu alusel tehtavaid spetsialiseeritud abitegevusi, sh maardlate uurimist traditsiooniliste geoloogiliste meetoditega (nt südamikpuurimine ja geoloogiline vaatlus) ning naftapuuraukude ning metalsete ja mittemetalsete mineraalide maardlate kontroll- või lahtipuurimist. Muudeks tüüpilisteks teenusteks on nafta- ja gaasipuurtornide vundamentide rajamine, nafta- ja gaasipuuraukude manteldamine, puhastamine, puuraukudest pumpamine ja nende tampoonimine, kaevanduste kuivendamine ja tühjakspumpamine, kaevanduspaiga pinnasekihi eemaldamine jne.",,,,EI
091,09,Nafta ja maagaasi tootmist abistavad tegevusalad,,,,,EI
0910,091,Nafta ja maagaasi tootmist abistavad tegevusalad,,,,,JAH
09101,0910,Nafta ja maagaasi tootmist abistavad tegevusalad,"− nafta- ja gaasiammutamise teenused tasu eest või lepingu alusel:
− nafta ja maagaasi ammutamisega seotud uurimisteenused (nt kohapealne geoloogiline vaatlus)
− suund- ja lahtipuurimine; löökpuurimine; puurtornide kohapeal püstitamine, remont ja demonteerimine; nafta- ja gaasipuuraukude manteldamine; puuraukudest pumpamine; puuraukude täitmine ja konserveerimine jne
− veoeelne maagaasi survestamine ja veeldamine kaevanduspaigas
− kuivendamis- ja tühjakspumpamisteenused tasu eest või lepingu alusel
− nafta ja maagaasi ammutamisega seotud kontrollpuurimine 
− teenused nafta- ja maagaasiväljade tuleohutuse tagamiseks",− puuraukude sulgemine,"nafta- ja maagaasiväljade operaatorite tegevused, vt 06101, 06201
kaevandusmasinate spetsialiseeritud remont, vt 33121
veoeelne maagaasi survestamine ja veeldamine kaevanduspaigast eemal, vt 52211
geofüüsikalised, geoloogilised ja seismilised uuringud, vt 71122",,JAH
099,09,Muud kaevandamist abistavad tegevusalad,,,,,EI
0990,099,Muud kaevandamist abistavad tegevusalad,,,,,JAH
09901,0990,Muud kaevandamist abistavad tegevusalad,"− kivi- ja pruunsöe, metallimaakide jms kaevandamise abitegevused tasu eest või lepingu alusel:
− uurimisteenused (nt südamikpuurimine, kohapealne geoloogiline vaatlus jms traditsioonilised geoloogilised uurimismeetodid)
− kuivendus- ja tühjakspumpamisteenused tasu eest või lepingu alusel
− kontrollpuurimine","− kaevanduse sisene transport
− turbakaevandamist abistavad tegevused","kaevanduste ja karjääride käitus tasu eest või lepingu alusel, vt 05, 07, 08
kaevandusmasinate spetsialiseeritud remont, vt 33121
geofüüsikalised uuringud tasu eest või lepingu alusel, vt 71122",,JAH
C,,TÖÖTLEV TÖÖSTUS,"Jagu C hõlmab materjalide, ainete või komponentide mehaanilist/füüsikalist või keemilist muundamist/töötlemist uueks tooteks. Materjali või aine töötlemine/muundamine ei ole samas ainumäärav tingimus, mille alusel üksus liigitada töötleva tööstuse alla, vt allpool selgitust jäätmete töötlemise kohta. Töödeldavaks materjaliks, aineks või komponendiks on põllumajanduses, metsanduses, kalanduses või mäetööstuses toodetud toore või töötleva tööstuse mõne teise tegevusala toode. Tavaliselt loetakse töötlemiseks kauba olulist muutmist, renoveerimist või rekonstrueerimist.
Tootmisprotsessi väljundiks võib olla valmistoode (valmis kasutamiseks või tarbimiseks) või pooltoode, mis on edasise tootmise sisendiks. Näiteks alumiiniumi rafineerimistehase toodang on esmase alumiiniumi tootmise sisendiks; esmane alumiinium on sisendiks alumiiniumtraadi tõmbamise tehastes; alumiiniumtraat on sisendiks alumiiniumtraadist toodete tootmisel.
Masinate ja seadmete spetsiaalsete komponentide ja koostisosade, samuti nende tarvikute ja lisaseadmete tootmine kuulub samasse klassi nende masinate ja seadmete tootmisega, mille jaoks osad ja tarvikud on mõeldud. Masinate ja seadmete üldise kasutusega komponentide ja koostisosade (mootorid, kolbid, elektrimootorid ja elektrilised sõlmed, ventiilid, hammasrattad, rull-laagrid jne) tootmine liigitatakse töötleva tööstuse vastavasse klassi, sõltumata sellest, millises masinas või seadmes neid kasutatakse. Spetsiaalsete komponentide ja lisaseadmete valmistamine plastsete materjalide vormimise või pressimise teel kuulub gruppi 222.
Töötleva tööstuse osaks loetakse ka toodete kokkupanekut omavalmistatud või ostetud detailidest. 
Jäätmete taaskasutamine, st jäätmete töötlemine teiseseks toormeks kuulub gruppi 383 (Materjalide taaskasutusele võtmine). Kuigi see protsess võib sisaldada ka füüsilist või keemilist muundamist, ei loeta seda töötleva tööstuse osaks. Nende tegevuste esmaseks eesmärgiks on jäätmete käitlus ning seetõttu kuuluvad need jakku E (Veevarustus; kanalisatsioon, jäätme- ja saastekäitlus). Samas uue lõpptoote valmistamine (vastandina teisesele toormele) kuulub siia jakku ka siis, kui tootmise sisendiks on jäätmed (nt hõbeda tootmine filmijäätmetest).
Tööstus-, kaubandus- ja muude sarnaste masinate ning seadmete spetsialiseeritud hooldus ja remont kuulub ossa 33 (Masinate ja seadmete remont ja paigaldus). Arvutite ning tarbeesemete ja kodutarvete parandamine kuulub ossa 95 (Arvutite ning tarbeesemete ja kodutarvete parandus) ning mootorsõidukite remont ossa 45 (Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont). Masinate ja seadmete paigaldus spetsialiseeritud tegevusena kuulub gruppi 332.
Märkus: Üldreeglina toimub tootmisüksuses materjalide ja ainete töötlemine uueks tooteks (väljundiks on uus toode). Samas võib uue toote määratlemine olla mõnevõrra subjektiivne. 
EMTAKi järgi kuulub töötleva tööstuse alla näiteks:
− värske kala töötlemine (nt austrikarpide eemaldamine, kala fileerimine), mida ei tehta kalapüügialusel, vt 10201
− piima pastöörimine ja villimine, vt 10511
− nahatöötlemine, vt 15111
− puidu immutamine, vt 16102
− trükkimine ja sellega seotud tegevusalad, vt 181
− rehvide protekteerimine, vt 22111
− valmisbetoonisegu tootmine, vt 23631
− galvaniseerimine, pindamine, metallide termiline töötlus ja poleerimine, vt 25611
− masinate (nt automootorite) ümberehitus ja kapitaalremont tehases, vt 29101",,"metsavarumine (jagu A, Põllumajandus, metsandus ja kalapüük)
põllumajandustoodete esmatöötlus (jagu A, Põllumajandus, metsandus ja kalapüük)
toidu valmistamine vahetuks tarbimiseks (osa 56, Toidu ja joogi serveerimine)
maakide ja muude mineraalide esmatöötlus (jagu B, Mäetööstus)
konstruktsioonide ehitamine ja tootmisoperatsioonid ehitusplatsil (jagu F, Ehitus)
kauba ümberjagamine väiksemateks kogusteks, sh pakkimine, ümberpakkimine, pudelisse villimine (nt alkoholjoogid või kemikaalid); utiili sortimine; värvi segamine tellija soovi järgi; metalli lõikamine tellimustööna ehk toimingud, mille tulemuseks ei ole uus toode (jagu G, Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont)","Eesti E-kaubanduse Liit
Eesti Kaubandus-Tööstuskoda
Eesti Kaupmeeste Liit
Eesti Tööandjate Keskliit
Eesti Väike – ja Keskmiste Ettevõtjate Assotsiatsioon (EVEA)
Rahvusvaheline Kaubanduskoda ICC Eesti",EI
